superkingdom	phylum	class	order	family	genus	species	strain	taxid	ident	genome_size
Archaea						uncultured archaeon A07HN63		1412873	GCA_000496215.1	2392686
Archaea						uncultured archaeon A07HR60		1412874	GCA_000496235.1	2876249
Archaea						uncultured archaeon A07HR67		1412871	GCA_000496175.1	2890468
Archaea	Candidatus Aenigmarchaeota					Candidatus Aenigmarchaeota archaeon CG01_land_8_20_14_3_00_37_9		1974382	GCA_002781145.1	857356
Archaea	Candidatus Aenigmarchaeota					Candidatus Aenigmarchaeota archaeon CG15_BIG_FIL_POST_REV_8_21_14_020_37_27		1974383	GCA_002781865.1	852786
Archaea	Candidatus Aenigmarchaeota					Candidatus Aenigmarchaeota archaeon CG1_02_38_14		1803500	GCA_001873985.1	878809
Archaea	Candidatus Aenigmarchaeota					Candidatus Aenigmarchaeota archaeon CG_4_10_14_0_8_um_filter_37_24		1974378	GCA_002791855.1	861294
Archaea	Candidatus Aenigmarchaeota					Candidatus Aenigmarchaeota archaeon CG_4_10_14_3_um_filter_37_21		1974379	GCA_002784265.1	901736
Archaea	Candidatus Aenigmarchaeota					Candidatus Aenigmarchaeota archaeon CG_4_8_14_3_um_filter_37_24		1974380	GCA_002782805.1	823804
Archaea	Candidatus Aenigmarchaeota					Candidatus Aenigmarchaeota archaeon CG_4_9_14_3_um_filter_37_18		1974381	GCA_002789635.1	891026
Archaea	Candidatus Aenigmarchaeota					Candidatus Aenigmarchaeota archaeon ex4484_14		2012502	GCA_002255055.1	743210
Archaea	Candidatus Aenigmarchaeota					Candidatus Aenigmarchaeota archaeon ex4484_224		2012503	GCA_002254545.1	485206
Archaea	Candidatus Aenigmarchaeota					Candidatus Aenigmarchaeota archaeon ex4484_52		2012504	GCA_002254415.1	614182
Archaea	Candidatus Aenigmarchaeota					Candidatus Aenigmarchaeota archaeon ex4484_56		2012505	GCA_002254685.1	566759
Archaea	Candidatus Altiarchaeota		Candidatus Altiarchaeales			Candidatus Altiarchaeales archaeon A3		1933927	GCA_002083985.1	1446933
Archaea	Candidatus Altiarchaeota		Candidatus Altiarchaeales			Candidatus Altiarchaeales archaeon HGW-Altiarchaeales-1		2013673	GCA_002841105.1	2012983
Archaea	Candidatus Altiarchaeota		Candidatus Altiarchaeales			Candidatus Altiarchaeales archaeon HGW-Altiarchaeales-2		2013674	GCA_002841095.1	1538931
Archaea	Candidatus Altiarchaeota		Candidatus Altiarchaeales			Candidatus Altiarchaeales archaeon HGW-Altiarchaeales-3		2013675	GCA_002842715.1	686909
Archaea	Candidatus Altiarchaeota		Candidatus Altiarchaeales			Candidatus Altiarchaeales archaeon IMC4		1878999	GCA_001742785.1	1390915
Archaea	Candidatus Altiarchaeota		Candidatus Altiarchaeales			Candidatus Altiarchaeales archaeon WOR_SM1_79		1849365	GCA_001723835.1	3188023
Archaea	Candidatus Altiarchaeota		Candidatus Altiarchaeales			Candidatus Altiarchaeales archaeon WOR_SM1_86-2		1849364	GCA_001723855.1	2087968
Archaea	Candidatus Altiarchaeota		Candidatus Altiarchaeales			Candidatus Altiarchaeales archaeon WOR_SM1_SCG		1849261	GCA_001723845.1	2549736
Archaea	Candidatus Altiarchaeota		Candidatus Altiarchaeales			Candidatus Altiarchaeales archaeon ex4484_2		2012506	GCA_002254565.1	1395301
Archaea	Candidatus Altiarchaeota		Candidatus Altiarchaeales			Candidatus Altiarchaeales archaeon ex4484_43		2012507	GCA_002254945.1	1040602
Archaea	Candidatus Altiarchaeota		Candidatus Altiarchaeales			Candidatus Altiarchaeales archaeon ex4484_96		2012508	GCA_002254405.1	919319
Archaea	Candidatus Altiarchaeota		Candidatus Altiarchaeales		Candidatus Altiarchaeum	Candidatus Altiarchaeum sp. CG03_land_8_20_14_0_80_32_618		2014241	GCA_002785505.1	1498923
Archaea	Candidatus Altiarchaeota		Candidatus Altiarchaeales		Candidatus Altiarchaeum	Candidatus Altiarchaeum sp. CG12_big_fil_rev_8_21_14_0_65_33_22		2014242	GCA_002762655.1	1297126
Archaea	Candidatus Altiarchaeota		Candidatus Altiarchaeales		Candidatus Altiarchaeum	Candidatus Altiarchaeum sp. CG2_30_32_3053		1803514	GCA_001873845.1	1660967
Archaea	Candidatus Altiarchaeota		Candidatus Altiarchaeales		Candidatus Altiarchaeum	Candidatus Altiarchaeum sp. CG_4_10_14_0_8_um_filter_32_851		2014238	GCA_002791795.1	1287166
Archaea	Candidatus Altiarchaeota		Candidatus Altiarchaeales		Candidatus Altiarchaeum	Candidatus Altiarchaeum sp. CG_4_8_14_3_um_filter_33_2054		2014239	GCA_002783845.1	1007260
Archaea	Candidatus Altiarchaeota		Candidatus Altiarchaeales		Candidatus Altiarchaeum	Candidatus Altiarchaeum sp. CG_4_9_14_0_8_um_filter_32_206		2014240	GCA_002789105.1	1027157
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon		2026714	GCA_002726865.1	1996248
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon		2026714	GCA_003096235.1	2245644
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon		2026714	GCA_003096255.1	2333481
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon B23		1779367	GCA_001593875.1	717825
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon B24		1779368	GCA_001593865.1	1731399
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon B24-2		2041147	GCA_002490245.1	1347170
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon B25		1779369	GCA_001593855.1	818882
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon B26-1		1779370	GCA_001593925.1	1348101
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon B26-2		1779371	GCA_001593935.1	1890193
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon B63		1779372	GCA_001593845.1	859377
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon CG07_land_8_20_14_0_80_47_9		1974385	GCA_002779555.1	1429808
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon CG_4_8_14_3_um_filter_42_8		1974384	GCA_002782745.1	678723
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon RBG_13_38_9		1797377	GCA_001775955.1	1724111
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon RBG_13_46_16b		1797378	GCA_001774235.1	1369378
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon RBG_13_52_12		1797379	GCA_001774245.1	2081685
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon RBG_13_60_20		1797380	GCA_001775965.1	1215694
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon RBG_16_48_13		1797381	GCA_001775995.1	848615
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon RBG_16_57_9		1797382	GCA_001776015.1	1523517
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon ex4484_135		2012509	GCA_002255025.1	976871
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon ex4484_205		2012510	GCA_002255045.1	1282106
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon ex4484_218		2012511	GCA_002254975.1	628054
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon ex4484_231		2012512	GCA_002254965.1	880221
Archaea	Candidatus Bathyarchaeota					Candidatus Bathyarchaeota archaeon ex4484_40		2012513	GCA_002254475.1	1136163
Archaea	Candidatus Diapherotrites					Candidatus Diapherotrites archaeon		2026736	GCA_002687735.1	551902
Archaea	Candidatus Diapherotrites					Candidatus Diapherotrites archaeon		2026736	GCA_002688035.1	745175
Archaea	Candidatus Diapherotrites					Candidatus Diapherotrites archaeon CG08_land_8_20_14_0_20_30_16		1974403	GCA_002779075.1	747636
Archaea	Candidatus Diapherotrites					Candidatus Diapherotrites archaeon CG08_land_8_20_14_0_20_34_12		1974404	GCA_002779065.1	940694
Archaea	Candidatus Diapherotrites					Candidatus Diapherotrites archaeon CG09_land_8_20_14_0_10_32_12		1974405	GCA_002778895.1	534583
Archaea	Candidatus Diapherotrites					Candidatus Diapherotrites archaeon CG10_big_fil_rev_8_21_14_0_10_31_34		1974406	GCA_002763225.1	1044951
Archaea	Candidatus Diapherotrites					Candidatus Diapherotrites archaeon CG11_big_fil_rev_8_21_14_0_20_37_9		1974407	GCA_002762975.1	1130899
Archaea	Candidatus Diapherotrites					Candidatus Diapherotrites archaeon CG_4_10_14_0_2_um_filter_31_5		1974402	GCA_002793375.1	478209
Archaea	Candidatus Heimdallarchaeota					Candidatus Heimdallarchaeota archaeon		2026747	GCA_002728275.1	1406929
Archaea	Candidatus Heimdallarchaeota					Candidatus Heimdallarchaeota archaeon AB_125		1841596	GCA_001940755.1	2278690
Archaea	Candidatus Heimdallarchaeota					Candidatus Heimdallarchaeota archaeon B3_Heim		2012493	GCA_003144275.1	3948260
Archaea	Candidatus Heimdallarchaeota					Candidatus Heimdallarchaeota archaeon LC_2		1841597	GCA_001940725.1	4843591
Archaea	Candidatus Heimdallarchaeota					Candidatus Heimdallarchaeota archaeon LC_3		1841598	GCA_001940645.1	5684038
Archaea	Candidatus Lokiarchaeota					Candidatus Lokiarchaeota archaeon CR_4		1849166	GCA_001940655.1	4334170
Archaea	Candidatus Lokiarchaeota				Lokiarchaeum	Lokiarchaeum sp. GC14_75		1538547	GCA_000986845.1	5143417
Archaea	Candidatus Marsarchaeota					Candidatus Marsarchaeota G1 archaeon BE_D		1978156	GCA_003019595.1	2190152
Archaea	Candidatus Marsarchaeota					Candidatus Marsarchaeota G1 archaeon OSP_B		1978153	GCA_003019445.1	1077698
Archaea	Candidatus Marsarchaeota					Candidatus Marsarchaeota G1 archaeon OSP_C		1978154	GCA_003019615.1	1992348
Archaea	Candidatus Marsarchaeota					Candidatus Marsarchaeota G1 archaeon OSP_D		1978155	GCA_003019565.1	1915630
Archaea	Candidatus Marsarchaeota					Candidatus Marsarchaeota G2 archaeon BE_D		1978158	GCA_003019435.1	3731392
Archaea	Candidatus Marsarchaeota					Candidatus Marsarchaeota G2 archaeon ECH_B_1		1978159	GCA_003019535.1	2552355
Archaea	Candidatus Marsarchaeota					Candidatus Marsarchaeota G2 archaeon ECH_B_2		1978160	GCA_003019515.1	2586509
Archaea	Candidatus Marsarchaeota					Candidatus Marsarchaeota G2 archaeon ECH_B_3		1978161	GCA_003019475.1	2471134
Archaea	Candidatus Marsarchaeota					Candidatus Marsarchaeota G2 archaeon ECH_B_SAG-C16		1978163	GCA_003019485.1	1242243
Archaea	Candidatus Marsarchaeota					Candidatus Marsarchaeota G2 archaeon ECH_B_SAG-E12		1978164	GCA_003019375.1	351358
Archaea	Candidatus Marsarchaeota					Candidatus Marsarchaeota G2 archaeon ECH_B_SAG-F08		1978165	GCA_003019415.1	902981
Archaea	Candidatus Marsarchaeota					Candidatus Marsarchaeota G2 archaeon ECH_B_SAG-G06		1978166	GCA_003019335.1	692736
Archaea	Candidatus Marsarchaeota					Candidatus Marsarchaeota G2 archaeon ECH_B_SAG-G16		1978167	GCA_003019385.1	1158483
Archaea	Candidatus Marsarchaeota					Candidatus Marsarchaeota G2 archaeon ECH_B_SAG-M15		1978162	GCA_003019345.1	1164694
Archaea	Candidatus Marsarchaeota					Candidatus Marsarchaeota G2 archaeon OSP_D		1978157	GCA_003019545.1	2779268
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon CG06_land_8_20_14_3_00_50_6		1974412	GCA_002779685.1	962913
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon CG08_land_8_20_14_0_20_49_17		1974413	GCA_002778915.1	1050027
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon CG08_land_8_20_14_0_20_59_11		1974414	GCA_002763345.1	789009
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon CG09_land_8_20_14_0_10_55_25		1974415	GCA_002763275.1	658716
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon CG09_land_8_20_14_0_10_60_16		1974416	GCA_002763255.1	780579
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_45_29		1974417	GCA_002778455.1	1146305
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_54_18		1974418	GCA_002785565.1	741440
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_59_7		1974419	GCA_002778425.1	840633
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_60_32		1974420	GCA_002763205.1	712183
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon CG11_big_fil_rev_8_21_14_0_20_47_5		1974421	GCA_002762955.1	887931
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon CG1_02_47_40		1805247	GCA_001871475.1	1154623
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon CG1_02_49_24		1805248	GCA_001871535.1	1178602
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon CG1_02_51_15		1805249	GCA_001871495.1	1132943
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon CG1_02_55_22		1805250	GCA_001871595.1	1192847
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon CG1_02_55_41		1805251	GCA_001871605.1	744456
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon CG1_02_60_51		1805252	GCA_001871655.1	833428
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon CG_4_10_14_0_2_um_filter_49_7		1974408	GCA_002792955.1	1300634
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon CG_4_10_14_0_2_um_filter_55_9		1974409	GCA_002792935.1	698428
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon CG_4_10_14_0_2_um_filter_60_11		1974410	GCA_002792915.1	760304
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon CG_4_10_14_0_8_um_filter_60_7		1974411	GCA_002785255.1	755266
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon RBG_16_36_9		1801632	GCA_001786585.1	730230
Archaea	Candidatus Micrarchaeota					Candidatus Micrarchaeota archaeon RBG_16_49_10		1801633	GCA_001784635.1	916337
Archaea	Candidatus Micrarchaeota				Candidatus Mancarchaeum	Candidatus Mancarchaeum acidiphilum		1920749	GCA_002214165.1	952257
Archaea	Candidatus Micrarchaeota	Candidatus Micrarchaeia	Candidatus Micrarchaeales	Candidatus Micrarchaeaceae	Candidatus Micrarchaeum	Candidatus Micrarchaeum sp. ARMAN-1		1912863	GCA_001889985.1	1010184
Archaea	Candidatus Micrarchaeota	Candidatus Micrarchaeia	Candidatus Micrarchaeales	Candidatus Micrarchaeaceae	Candidatus Micrarchaeum	Candidatus Micrarchaeum sp. AZ1		1531428	GCA_001896515.1	980507
Archaea	Candidatus Odinarchaeota					Candidatus Odinarchaeota archaeon LCB_4		1841599	GCA_001940665.1	1460710
Archaea	Candidatus Thermoplasmatota	Candidatus Poseidoniia	Candidatus Poseidoniales			Candidatus Poseidoniales archaeon		2163009	GCA_003324595.1	2091722
Archaea	Candidatus Thermoplasmatota	Candidatus Poseidoniia	Candidatus Poseidoniales			Candidatus Poseidoniales archaeon		2163009	GCA_003324605.1	1937744
Archaea	Candidatus Thermoplasmatota	Candidatus Poseidoniia	Candidatus Poseidoniales			Candidatus Poseidoniales archaeon		2163009	GCA_003324645.1	2028746
Archaea	Candidatus Thermoplasmatota	Thermoplasmata				Thermoplasmata archaeon M11B2D		1933281	GCA_002900545.1	1698374
Archaea	Candidatus Thermoplasmatota	Thermoplasmata				methanogenic archaeon ISO4-H5		1495144	GCA_001560915.1	1937883
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales			Methanomassiliicoccales archaeon RumEn M1		1713724	GCA_001421185.1	2121026
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales			Methanomassiliicoccales archaeon RumEn M2		1713725	GCA_001421175.1	1280797
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Candidatus Methanomethylophilaceae	Candidatus Methanomethylophilus	Candidatus Methanomethylophilus sp. 1R26		1769296	GCA_001481295.1	1723106
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Candidatus Methanoplasma	Candidatus Methanoplasma termitum		1577791	GCA_000800805.1	1488669
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	Candidatus Methanomassiliicoccus intestinalis	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1	1295009	GCA_000404225.1	1931651
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales			Thermoplasmatales archaeon A-plasma		667135	GCA_000447225.1	1989604
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales			Thermoplasmatales archaeon BRNA1		1054217	GCA_000350305.1	1461105
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales			Thermoplasmatales archaeon E-plasma		667137	GCA_000496135.1	1660504
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales			Thermoplasmatales archaeon I-plasma		667138	GCA_001856825.1	1687956
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales			Thermoplasmatales archaeon SCGC AB-539-C06		1242690	GCA_000364885.1	593453
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales			Thermoplasmatales archaeon SCGC AB-539-N05		1198116	GCA_000349645.1	801028
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales			Thermoplasmatales archaeon SCGC AB-540-F20		1242866	GCA_000349685.1	1037251
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales			Thermoplasmatales archaeon ex4484_30		2012522	GCA_002254485.1	1323529
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales			Thermoplasmatales archaeon ex4484_6		2012524	GCA_002254385.1	1825537
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Cuniculiplasmataceae	Cuniculiplasma	Cuniculiplasma divulgatum		1673428	GCA_900083515.1	1938699
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Cuniculiplasmataceae	Cuniculiplasma	Cuniculiplasma divulgatum		1673428	GCA_900090055.1	1878916
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Acidiplasma	Acidiplasma cupricumulans		312540	GCA_001402935.1	1731076
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma	Ferroplasma acidarmanus	Ferroplasma acidarmanus fer1	333146	GCA_000152265.2	1935211
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma	Ferroplasma acidiphilum		74969	GCA_002078355.1	1826943
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus	Picrophilus oshimae	Picrophilus oshimae DSM 9789	1122961	GCA_900176435.1	1534155
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus	Picrophilus torridus	Picrophilus torridus DSM 9790	263820	GCA_000008265.1	1545895
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	Thermoplasma acidophilum	Thermoplasma acidophilum DSM 1728	273075	GCA_000195915.1	1564906
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	Thermoplasma volcanium	Thermoplasma volcanium GSS1	273116	GCA_000011185.1	1584804
Archaea	Candidatus Thorarchaeota					Candidatus Thorarchaeota archaeon AB_25		1837170	GCA_001940705.1	2855654
Archaea	Candidatus Thorarchaeota					Candidatus Thorarchaeota archaeon SMTZ-45		1706443	GCA_001563465.1	2357191
Archaea	Candidatus Thorarchaeota					Candidatus Thorarchaeota archaeon SMTZ1-45		1706444	GCA_001563335.1	3544182
Archaea	Candidatus Thorarchaeota					Candidatus Thorarchaeota archaeon SMTZ1-83		1706445	GCA_001563325.1	3263991
Archaea	Candidatus Woesearchaeota					Candidatus Woesearchaeota archaeon		2026803	GCA_002725495.1	635633
Archaea	Candidatus Woesearchaeota					Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_34_12		1974460	GCA_002762835.1	587509
Archaea	Crenarchaeota					Crenarchaeota archaeon		2056631	GCA_003352245.1	1674791
Archaea	Crenarchaeota					Crenarchaeota archaeon		2056631	GCA_003352265.1	1690326
Archaea	Crenarchaeota					Crenarchaeota archaeon		2056631	GCA_003352295.1	2226630
Archaea	Crenarchaeota					Crenarchaeota archaeon 13_1_20CM_2_51_8		1805093	GCA_001920635.1	3311561
Archaea	Crenarchaeota					Crenarchaeota archaeon 13_1_20CM_2_53_14		1805094	GCA_001920575.1	1541694
Archaea	Crenarchaeota					Crenarchaeota archaeon 13_1_40CM_2_52_14		1805092	GCA_001919175.1	1621432
Archaea	Crenarchaeota					Crenarchaeota archaeon 13_1_40CM_3_52_10		1805095	GCA_001918765.1	1325436
Archaea	Crenarchaeota					Crenarchaeota archaeon 13_1_40CM_3_52_17		1805096	GCA_001918745.1	1775681
Archaea	Crenarchaeota					Crenarchaeota archaeon 13_1_40CM_3_52_4		1805097	GCA_001918735.1	757096
Archaea	Crenarchaeota					Crenarchaeota archaeon 13_1_40CM_3_53_5		1805098	GCA_001918715.1	2460891
Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	uncultured Acidilobus sp. CIS		1410574	GCA_000495695.1	1426691
Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	uncultured Acidilobus sp. JCHS		1410576	GCA_000495735.1	1476663
Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	uncultured Acidilobus sp. MG		1410573	GCA_000495675.1	1548506
Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	uncultured Acidilobus sp. OSP8		1410575	GCA_000495715.1	1430817
Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera	Caldisphaera lagunensis	Caldisphaera lagunensis DSM 15908	1056495	GCA_000317795.1	1546846
Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera	Caldisphaera sp.		2060322	GCA_002877795.1	458561
Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera	Caldisphaera sp.		2060322	GCA_002877855.1	935586
Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera	Caldisphaera sp.		2060322	GCA_002878225.1	1413505
Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales			Desulfurococcales archaeon ex4484_204		2012517	GCA_002255065.1	930496
Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales			Desulfurococcales archaeon ex4484_217_1		2012518	GCA_002254745.1	807477
Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales			Desulfurococcales archaeon ex4484_217_2		2012519	GCA_002254985.1	2148448
Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales			Desulfurococcales archaeon ex4484_42		2012520	GCA_002254465.1	1875308
Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales			Desulfurococcales archaeon ex4484_58		2012521	GCA_002254665.1	1432029
Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae		Desulfurococcaceae archaeon		2184738	GCA_003177295.1	1634490
Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae		Desulfurococcaceae archaeon AG1		2027460	GCA_003116855.1	1997414
Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum	Aeropyrum camini	Aeropyrum camini SY1 = JCM 12091	1198449	GCA_000591035.1	1595994
Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum	Aeropyrum pernix	Aeropyrum pernix K1	272557	GCA_000011125.1	1669696
Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus amylolyticus	Desulfurococcus amylolyticus 1221n	490899	GCA_000020905.1	1365223
Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus amylolyticus	Desulfurococcus amylolyticus DSM 16532	768672	GCA_000231015.3	1384116
Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus mucosus	Desulfurococcus mucosus DSM 2162	765177	GCA_000186365.1	1314639
